,,Tháng 7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Link Tổng ảnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Đã chốt,,,,,,,Tạm lock,,,,,,Phòng trống,,,,,Holiday Ha Long,,,,,,,,,,,,
,,,Bảng Giá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 STT, Mã Căn,Loại Căn Hộ,Ngày thường,"Cuối Tuần
T6-T7, T7-Cn",, T4,T5,T6,T7, CN,T2, T3,T4, T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6
1,1005,Studio View phố,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
2,1006,Studio View phố,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
3,2917,Studio View bể bơi,1100,1300,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
4,H15A01,Studio View bể bơi,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
5,12A16,Studio View bể bơi,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
6,2805A,Studio View phố,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
7,15A05,Studio View phố,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
8,2506,Studio View phố,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
9,3106,Studio View phố,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
10,15A03,Studio View phố,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
11,1215,Studio View Biển,800,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
12,2416,Studio View phố,900,1100,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
13,0915,Studio View Biển,1000,1200,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
14,3315a,Studio View Biển,1000,1200,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
15,2615a,Studio View Biển,1000,1200,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
16,2611,Studio View Biển,1100,1300,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
17,2510,Studio View Biển,1100,1300,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
